Node,x,y,z
1,6,64,3
2,29,57,18
3,-29,57,10
4,0,51,32
5,-25,51,27
6,9,51,16
7,-6,50,-1
8,27,49,26
9,42,48,-3
10,-43,47,2
11,-11,45,17
12,39,42,16
13,8,42,-5
14,9,39,20
15,46,39,-15
16,40,36,29
17,23,33,47
18,34,32,7
19,-2,30,27
20,-16,29,54
21,-1,28,40
22,46,28,31
23,-52,28,17
24,-44,27,33
25,51,23,8
26,38,21,-1
27,9,20,34
28,-36,18,2
29,40,17,40
30,-6,17,34
31,0,15,45
32,58,11,14
33,-46,10,14
34,44,8,34
35,60,8,34
36,-42,7,36
37,-55,7,23
38,-20,6,7
39,14,6,7
40,-48,6,1
41,10,5,51
42,43,1,12
43,0,-1,52
44,37,-2,-3
45,53,-3,32
46,58,-3,17
47,-12,-3,13
48,-42,-3,11
49,-44,-6,49
50,-26,-8,54
51,46,-8,24
52,-54,-9,23
53,44,-11,38
54,-47,-12,36
55,33,-12,16
56,-36,-12,15
57,-12,-12,6
58,11,-12,6
59,32,-12,2
60,59,-13,8
61,-30,-14,1
62,-38,-15,59
63,52,-15,-13
64,-47,-18,50
65,46,-20,45
66,-55,-22,38
67,-54,-22,22
68,-54,-22,9
69,41,-23,55
70,42,-24,17
71,11,-24,2
72,-59,-25,-15
73,1,-26,31
74,18,-27,62
75,-38,-27,60
76,-30,-28,9
77,-24,-30,64
78,51,-30,5
79,-41,-31,48
80,-4,-31,-4
81,54,-31,-18
82,-41,-37,16
83,-53,-37,13
84,28,-37,-15
85,-3,-38,45
86,34,-39,65
87,8,-40,50
88,-41,-40,42
89,58,-41,20
90,-8,-41,3
91,-61,-41,-2
92,-28,-42,-11
93,-5,-43,25
94,9,-43,25
95,43,-43,8
96,54,-44,43
97,-55,-44,30
98,-28,-44,-25
99,-35,-46,48
100,42,-46,21
101,-48,-47,49
102,-41,-47,29
103,-59,-47,11
104,-53,-50,39
105,5,-50,33
106,-18,-50,1
107,44,-52,47
108,-5,-52,17
109,-24,-54,-21
110,-37,-54,-37
111,10,-55,17
112,-6,-56,29
113,-34,-57,-24
114,-32,-58,46
115,-11,-58,17
116,32,-59,41
117,51,-59,34
118,-34,-60,-5
119,36,-60,-8
120,-6,-60,-15
121,-25,-60,-34
122,32,-61,-31
123,46,-62,5
124,-48,-63,35
125,-52,-63,15
126,-44,-63,-7
127,-16,-64,-21
128,21,-64,-22
129,19,-66,-1
130,1,-66,-24
131,-34,-67,-29
132,11,-68,42
133,17,-68,20
134,-36,-69,40
135,39,-71,13
136,-9,-72,41
137,45,-72,29
138,-11,-72,-14
139,29,-73,29
140,33,-73,-30
141,-2,-75,32
142,-29,-75,28
143,5,-75,-11
144,14,-75,-21
145,-16,-76,33
146,-42,-76,26
147,9,-76,14
148,15,-77,32
149,20,-78,-2
150,-21,-79,-33
151,-6,-79,-33
152,-5,-80,9
153,29,-81,14
154,33,-81,-2
155,18,-81,-33
156,-37,-83,-2
157,-29,-88,8
158,13,-91,2
159,27,-91,2
160,-4,-94,12
